frame,ball1Position,ball2Position,ball3Position
354,476.61047,401.2735,250.60477
355,481.35477,407.2735,245.81389
356,481.77798,410.27728,239.07481
357,485.56238,420.22644,232.4067
358,486.7028,412.5024,226.83282
359,489.32263,421.07706,222.04137
360,501.42032,423.8003,219.34683
361,490.21365,392.5373,218.85759
362,493.23724,400.47446,219.19337
363,497.53256,400.52155,220.32013
364,500.51843,407.1941,224.57437
365,499.79504,409.80524,230.0888
366,500.6666,412.30356,236.67082
367,503.75473,414.5386,243.6066
368,506.1407,405.7074,251.75296
369,506.55142,407.3617,260.22406
370,509.0558,402.8558,266.82477
371,510.6433,392.1933,271.4992
372,509.98227,387.4668,276.0774
373,514.37335,389.29498,278.63736
374,515.5117,384.87607,279.83124
375,517.179,380.27567,279.8721
376,516.95087,376.8414,278.4339
377,507.06702,373.58444,274.61838
378,502.05826,370.4894,269.21506
379,494.49506,367.55063,263.82513
380,487.85428,363.60727,252.5917
381,480.8967,357.30893,256.49768
382,473.99417,352.44672,265.27264
383,467.43393,351.46765,271.5034
384,462.70734,348.33417,276.16827
385,457.97638,342.50058,277.8083
386,456.05505,333.8335,280.4903
387,454.71954,327.96136,284.2641
388,453.7614,323.62057,287.00607
389,453.97592,331.9479,291.26175
390,454.9825,340.97754,294.67853
391,455.262,344.8006,298.47116
392,455.1849,347.90393,300.8254
393,456.15765,346.9482,301.9569
394,456.7482,345.45575,304.53967
395,459.64706,340.66873,303.6522
396,460.57477,337.71436,306.95096
397,460.7858,345.88364,306.7763
398,461.03076,355.13083,305.79712
399,461.16794,362.5357,306.73068
400,460.91168,367.54178,306.9172
401,460.19012,374.25616,308.65833
402,460.58063,380.51318,310.68478
403,463.0148,383.776,308.5365
404,467.13428,388.8611,303.55984
405,471.26706,391.56177,309.61554
406,477.95398,392.5342,305.95016
407,489.20874,399.31155,309.0576
408,497.79343,407.1989,309.54218
409,500.80432,413.1553,307.03302
410,498.6074,418.83914,302.9327
411,498.07623,422.303,298.07663
412,494.2536,422.91147,292.5228
413,493.26163,426.58035,287.0517
414,493.79138,429.7462,282.6822
415,495.5214,433.0044,278.13086
416,497.5566,436.4547,275.64798
417,498.5159,441.74435,272.18497
418,496.91754,439.96732,271.1004
419,495.82333,447.1421,270.4425
420,495.1037,449.62823,271.29208
421,493.62018,450.73886,271.5842
422,492.7334,456.1693,273.4372
423,490.72824,461.51288,276.5019
424,488.97488,461.66016,282.04953
425,487.90344,469.9095,286.74585
426,484.6377,477.52762,293.753
427,483.3422,484.50763,299.87454
428,482.75467,486.1132,305.9043
429,481.31992,488.53458,311.65262
